epoch,train_loss,nMSE_data,nMSE_bc_kin,nMSE_bc_dyn,nMSE_reg,SSP,epoch,val_loss,val_nMSE_data,val_nMSE_bc_kin,val_nMSE_bc_dyn,val_nMSE_reg,val_SSP
0,0.9089876831432425,0.4280099744598071,0.002238701380865261,0.32053051791837994,0.6328339575367611,0.7280522365752743,0,0.16381378322048992,0.053351053089465736,0.0008537605677221744,0.09274550232122529,0.06745386896830685,0.2573017382396842
1,0.11814026460956377,0.03172209213883579,0.0009856034900793014,0.07641573736405863,0.036067326466360176,0.2067588547959712,1,0.09842757843346951,0.027014738511083262,0.0011465877672341073,0.0640680066678884,0.02479298194905497,0.18808712852451037
2,0.0931958915207073,0.02573616632317762,0.0013149997366939511,0.06107950603698291,0.0202608776954113,0.18172623078216685,2,0.08970231050845096,0.024919257903436444,0.0013945251988809345,0.058416871178262636,0.019886624911483727,0.17969440204917259
3,0.09106872815539102,0.023974793490852225,0.0015290225731866584,0.06137551510880156,0.016757587930202295,0.175789543920407,3,0.0932832228235092,0.02288597393429504,0.0017162721872083701,0.06494616435946159,0.014939249370176837,0.1737726943672828
4,0.09454330974251125,0.023003521020778735,0.0016320674048624874,0.06598129128157433,0.015705720141182815,0.17305724645301251,4,0.10114842725100592,0.021544628548172285,0.0016779533064625455,0.07424480622669435,0.01472415667870697,0.1715851071870552
5,0.2909626020959065,0.028779905636634497,0.0016107652588316355,0.25362097687348373,0.027803817307826655,0.1820273728685168,5,0.11550897724249945,0.03353893057495918,0.0012623237792999957,0.06734519423741214,0.05345011460331251,0.2032752087656057
6,0.14398969740402337,0.02365822763157211,0.0015847388188550352,0.11308002930964339,0.022666806575811306,0.17481052498870175,6,0.07755159220948182,0.01992910738401818,0.0016899022146321411,0.05228836820372995,0.014576857628406218,0.16695550674537443
7,0.0717445569507201,0.018663587331136256,0.001756471820840668,0.0482549563132662,0.012278165941907896,0.1622972631765203,7,0.06814633550798907,0.017675645210130035,0.0017740513255187081,0.045829078920607294,0.011470240206932122,0.1592918429172264
8,0.06049779712886066,0.01707158288307853,0.0017793416659867077,0.03913793352389882,0.010035756223586404,0.1531092329377435,8,0.05648950312312973,0.01681029671838261,0.001754856415813402,0.03561275016586735,0.00924639929226547,0.1486150768567931
9,0.04851024898393924,0.015666528954354556,0.0017370867949732436,0.029143947757792322,0.00785074190727646,0.14194531847044567,9,0.04527051750798974,0.014636369545083001,0.0017337671322923786,0.02721955599087589,0.006723299358953845,0.13768864718248258
